序号,证券代码,证券简称,自由流通市值(亿元),总市值(亿元),申万一级行业,在原来数据中的序号
58,002120.XSHE,韵达股份,41.52,518.97,交通运输,655
59,002142.XSHE,宁波银行,422.41,844.83,银行,677
60,002146.XSHE,荣盛发展,138.27,345.68,房地产,681
61,002153.XSHE,石基信息,83.08,276.94,计算机,688
62,002179.XSHE,中航光电,133.19,266.39,国防军工,714
63,002202.XSHE,金风科技,232.26,355.26,电力设备,737
64,002230.XSHE,科大讯飞,360.92,515.6,计算机,765
65,002236.XSHE,大华股份,206.12,343.53,计算机,771
66,002241.XSHE,歌尔股份,133.96,223.26,电子,776
67,002252.XSHE,上海莱士,119.54,398.47,医药生物,787
68,002271.XSHE,东方雨虹,116.48,193.22,建筑材料,805
69,002294.XSHE,信立泰,87.41,218.51,医药生物,828
70,002304.XSHE,洋河股份,570.97,1427.42,食品饮料,838
71,002310.XSHE,东方园林,93.45,186.91,建筑装饰,844
72,002311.XSHE,海大集团,183.22,366.33,农林牧渔,845
73,002352.XSHE,顺丰控股,159.19,1447.15,交通运输,886
74,002411.XSHE,*ST必康,64.6,323.01,医药生物,945
75,002415.XSHE,海康威视,950.78,2376.94,计算机,949
76,002422.XSHE,科伦药业,178.4,297.33,医药生物,956
77,002450.XSHE,康得退,162.31,270.52,基础化工,984
78,002456.XSHE,欧菲光,174.52,249.31,电子,990
79,002460.XSHE,赣锋锂业,172.32,290.37,有色金属,994
80,002466.XSHE,天齐锂业,200.91,334.85,有色金属,1000
81,002468.XSHE,申通快递,50.36,251.82,交通运输,1002
82,002475.XSHE,立讯精密,347.11,578.52,电子,1009
83,002493.XSHE,荣盛石化,126.95,634.77,石油石化,1027
84,002508.XSHE,老板电器,95.8,191.61,家用电器,1042
85,002555.XSHE,三七互娱,60.18,200.59,传媒,1088
86,002558.XSHE,巨人网络,117.64,392.12,传媒,1091
87,002572.XSHE,索菲亚,108.27,154.67,轻工制造,1105
88,002594.XSHE,比亚迪,462.35,1391.35,汽车,1127
89,002601.XSHE,龙佰集团,74.98,249.94,基础化工,1134
90,002602.XSHE,世纪华通,96.43,482.13,传媒,1135
